一	いち
一々	いちいち
一から	いちから
一からやり直す	いちからやりなおす
一から十まで	いちからじゅうまで
一から十迄	いちからじゅうまで
一か八か	いちかばちか
一か所	いっかしょ
一か月	いっかげつ
一ころ	いちころ
一っ走り	ひとっぱしり
一つ	ひとつ
一つは	ひとつは
一つ一つ	ひとつひとつ
一つ事	ひとつこと
一つ宛	ひとつあて
一つ家	ひとつや
一つ度も	ひとつども
一つ心	ひとつこころ
一つ星	ひとつぼし
一つ書き	ひとつがき
一つ目	ひとつめ
一つ目小僧	ひとつめこぞう
一つ目滑車	ひとつめかっしゃ
一つ穴	ひとつあな
一つ置き	ひとつおき
一つ置きに	ひとつおきに
一つ覚え	ひとつおぼえ
一つ話	ひとつばなし
一つ身	ひとつみ
一つ釜	ひとつかま
一に	いつに
一の字点	いちのじてん
一の膳	いちのぜん
一は	ひとつは
一まず	ひとまず
一まとまり	ひとまとまり
一も二も無く	いちもにもなく
一ケ所	いっかしょ
一ケ月	いっかげつ
一ノ貝	いちのかい
一リットル炊き	いちリットルだき
一ヶ所	いっかしょ
一ヶ月	いっかげつ
一一	いちいち
一一九番	ひゃくじゅうきゅうばん
一丁	いっちょう
一丁前	いっちょうまえ
一丁字	いっていじ
一丁目	いっちょうめ
一万	いちまん
一万円	いちまんえん
一上一下	いちじょういちげ
一世	いっせい
一世の雄	いっせいのゆう
一世を風靡する	いっせいをふうびする
一世一代	いっせいいちだい
一世一元	いっせいいちげん
一世紀	いっせいき
一世風靡	いっせいふうび
一両	いちりょう
一両年	いちりょうねん
一両日	いちりょうじつ
一両日中	いちりょうじつちゅう
一丸	いちがん
一丸となって	いちがんとなって
一了簡	いちりょうかん
一事	いちじ
一事不再理	いちじふさいり
一事不再議	いちじふさいぎ
一二	いちに
一二に及ばず	いちににおよばず
一人	ひとり
一人っ子	ひとりっこ
一人で	ひとりで
一人でに	ひとりでに
一人ひとり	ひとりひとり
一人ぼっち	ひとりぼっち
一人ぽっち	ひとりぼっち
一人一人	ひとりひとり
一人乗り	いちにんのり
一人二役	ひとりふたやく
一人会社	いちにんかいしゃ
一人分	ひとりぶん
一人前	いちにんまえ
一人前になる	いちにんまえになる
一人占め	ひとりじめ
一人合点	ひとりがてん
一人天下	ひとりてんか
一人天狗	ひとりてんぐ
一人娘	ひとりむすめ
一人子	いっし
